Mountain,Height,Drop,Lon,Lat,Range,Region,Country,Firstascent
Mont Blanc,4808,4695,6.8644,45.8325,Mont Blanc massif,U-Savoy/Aosta,FR/IT,1786
Monte Rosa (Dufourspitze),4634,2165,7.8669,45.9369,Monte Rosa Alps,Valais,CH,1855
Dom,4545,1046,7.8589,46.0939,Mischabel,Valais,CH,1858
Liskamm,4527,376,7.8356,45.9222,Monte Rosa Alps,Valais/Aosta,CH/IT,1861
Weisshorn,4506,1235,7.7158,46.1014,Weisshorn-Matterhorn,Valais,CH,1861
Matterhorn,4478,1042,7.6586,45.9764,Weisshorn-Matterhorn,Valais/Aosta,CH/IT,1865
Dent Blanche,4357,915,7.6119,46.0342,Weisshorn-Matterhorn,Valais,CH,1862
Grand Combin,4314,1517,7.2992,45.9375,Grand Combin Alps,Valais,CH,1859
Finsteraarhorn,4274,2280,8.1261,46.5372,Bernese Alps,Bern/Valais,CH,1829
Zinalrothorn,4221,490,7.6903,46.0650,Weisshorn-Matterhorn,Valais,CH,1864
Grandes Jorasses (Pointe Walker),4208,843,6.9883,45.8692,Mont Blanc massif,U-Savoy/Aosta,FR/IT,1868
Alphubel,4206,359,7.8639,46.0631,Mischabel,Valais,CH,1860
Rimpfischhorn,4199,642,7.8842,46.0233,Mischabel,Valais,CH,1859
Aletschhorn,4193,1029,7.9939,46.4650,Bernese Alps,Valais,CH,1859
Strahlhorn,4190,401,7.9017,46.0133,Mischabel,Valais,CH,1854
Dent d'Hérens,4174,701,7.6053,45.9700,Weisshorn-Matterhorn,Valais/Aosta,CH/IT,1863
Breithorn,4164,439,7.7489,45.9411,Monte Rosa Alps,Valais/Aosta,CH/IT,1813
Jungfrau,4158,687,7.9625,46.5367,Bernese Alps,Bern/Valais,CH,1811
Aiguille Verte,4122,689,6.9703,45.9347,Mont Blanc massif,Upper Savoy,FR,1865
Mönch,4107,584,7.9972,46.5583,Bernese Alps,Bern/Valais,CH,1857
Barre des Écrins,4102,2045,6.3600,44.9225,Massif des Écrins,Hautes-Alpes,FR,1864
Schreckhorn,4078,792,8.1181,46.5900,Bernese Alps,Bern,CH,1861
Ober Gabelhorn,4063,536,7.6681,46.0386,Weisshorn-Matterhorn,Valais,CH,1865
Gran Paradiso,4061,1888,7.2672,45.5181,Gran Paradiso Alps,Aosta Valley,IT,1860
Piz Bernina,4049,2234,9.9081,46.3822,Bernina Range,Graubünden,CH,1850
Gross Fiescherhorn,4049,398,8.0614,46.5514,Bernese Alps,Bern/Valais,CH,1862
Gross Grünhorn,4044,305,8.0778,46.5319,Bernese Alps,Valais,CH,1865
Weissmies,4017,1186,8.0122,46.1278,Weissmies Alps,Valais,CH,1855
Lagginhorn,4010,511,8.0031,46.1572,Weissmies Alps,Valais,CH,1856
Piz Zupò,3996,405,9.9314,46.3683,Bernina Range,Graub./Sondrio,CH/IT,1863
Fletschhorn,3985,297,8.0033,46.1681,Weissmies Alps,Valais,CH,1854
Gletscherhorn,3983,346,7.9678,46.5128,Bernese Alps,Bern/Valais,CH,1867
Meije,3982,824,6.3086,45.0047,Massif des Écrins,Isère/H-Alpes,FR,1877
Eiger,3970,356,8.0053,46.5775,Bernese Alps,Bern,CH,1858
Grivola,3969,714,7.2575,45.5958,Gran Paradiso Alps,Aosta Valley,IT,1859
Grand Cornier,3962,431,7.6114,46.0519,Weisshorn-Matterhorn,Valais,CH,1865
Ailefroide,3954,762,6.3564,44.8850,Massif des Écrins,Isère/H-Alpes,FR,1870
Mont Pelvoux,3943,465,6.3967,44.8975,Massif des Écrins,Hautes-Alpes,FR,1828
Piz Roseg,3937,415,9.8831,46.3736,Bernina Range,Graubünden,CH,1865
Bietschhorn,3934,806,7.8508,46.3917,Bernese Alps,Valais,CH,1859
Trugberg,3933,306,8.0153,46.5467,Bernese Alps,Valais,CH,1871
Aiguille de Tré la Tête,3930,588,6.8150,45.7947,Mont Blanc massif,Aosta Valley,IT,1864
Pic Sans Nom,3913,340,6.3839,44.8933,Massif des Écrins,Hautes-Alpes,FR,1877
Gross Wannenhorn,3906,626,8.0969,46.4939,Bernese Alps,Valais,CH,1864
Ortler,3905,1953,10.5447,46.5089,Ortler Alps,South Tyrol,IT,1804
Aiguille d'Argentière,3901,473,7.0200,45.9600,Mont Blanc massif,Valais/U-Savoy,CH/FR,1864
Ruinette,3875,851,7.4003,45.9792,Grand Combin Alps,Valais,CH,1865
Aiguille de Triolet,3870,301,7.0244,45.9167,Mont Blanc massif,U-Savoy/Aosta,FR/IT,1874
Grande Casse,3855,1305,6.8278,45.4053,Vanoise massif,Savoy,FR,1860
Königspitze / Gran Zebrù,3851,424,10.5683,46.4786,Ortler Alps,S-Tyrol/Sondrio,IT,1854
Aiguille du Midi,3842,310,6.8875,45.8786,Mont Blanc massif,Upper Savoy,FR,1856
Monviso / Monte Viso / Vísol,3841,2062,7.0908,44.6675,Southern Cottian Alps,Cuneo,IT,1861
Bouquetins,3838,490,7.5453,45.9822,Weisshorn-Matterhorn,Valais/Aosta,CH/IT,1871
Tour Noir,3837,302,7.0375,45.9489,Mont Blanc massif,Valais/U-Savoy,CH/FR,1876
Brunegghorn,3833,293,7.7456,46.1258,Weisshorn-Matterhorn,Valais,CH,1865
Aiguille du Chardonnet,3824,503,7.0011,45.9689,Mont Blanc massif,Upper Savoy,FR,1865
Nesthorn,3821,636,7.9261,46.4133,Bernese Alps,Valais,CH,1865
Mont Dolent,3820,330,7.0461,45.9225,Mont Blanc massif,Valais/Aosta,CH/IT,1864
Aiguille des Glaciers,3816,301,6.8025,45.7786,Mont Blanc massif,Aosta/U-Savoy,FR/IT,1878
Le Râteau,3809,452,6.2831,45.0008,Massif des Écrins,Isère/H-Alpes,FR,1873
Großglockner,3798,2428,12.6944,47.0742,Glockner Group,Carinthia/E-Tyrol,AT,1800
Schinhorn,3797,422,7.9467,46.4517,Bernese Alps,Valais,CH,1869
Pointe de Zinal,3789,301,7.6306,46.0269,Weisshorn-Matterhorn,Valais,CH,1870
Lauterbrunnen Breithorn,3780,443,7.8767,46.4786,Bernese Alps,Bern/Valais,CH,1865
Mont Pourri,3779,1127,6.8603,45.5281,Vanoise massif,Savoy,FR,1861
Aiguille Noire de Peuterey,3772,343,6.8931,45.8153,Mont Blanc massif,Aosta Valley,IT,1877
Wildspitze,3770,2263,10.8672,46.8853,Ötztal Alps,North Tyrol,AT,1848
Monte Cevedale,3769,531,10.6167,46.4439,Ortler Alps,Sondrio/Trentino,IT,1865
Grande Ruine,3765,496,6.3297,44.9678,Massif des Écrins,Isère/H-Alpes,FR,1873
Aiguille de Leschaux,3759,309,7.0069,45.8875,Mont Blanc massif,Upper Savoy,FR/IT,1872
Pointe de Charbonnel,3752,997,7.0550,45.2803,Graian Alps - SE,Savoy,FR,1862
Piz Morteratsch,3751,324,9.9017,46.4028,Bernina Range,Graubünden,CH,1858
Aiguille de la Grande Sassière,3747,792,7.0000,45.5050,Graian Alps - Central,Savoy/Aosta,FR/IT,1808
Weißkugel,3739,569,10.7264,46.7978,Ötztal Alps,N-Tyrol/S-Tyrol,AT/IT,1845
Roche Faurio,3730,363,6.3581,44.9419,Massif des Écrins,Isère,FR,1873
Mont Vélan,3726,620,7.2517,45.8917,Grand Combin Alps,Valais/Aosta,CH/IT,1779
Evêque,3716,647,7.5028,45.9644,Grand Combin Alps,Valais,CH,1867
Combin de Corbassière,3716,312,7.2806,45.9781,Grand Combin Alps,Valais,CH,1851
La Singla,3714,452,7.4719,45.9458,Grand Combin Alps,Valais/Aosta,CH/IT,1867
Wetterhörner (Mittelhorn),3704,579,8.1247,46.6353,Bernese Alps,Bern,CH,1845
Le Pleureur,3704,467,7.3692,46.0164,Grand Combin Alps,Valais,CH,1867
Balmhorn,3698,1022,7.6936,46.4250,Bernese Alps,Bern/Valais,CH,1864
Dent Parrachée,3697,1180,6.7564,45.2892,Vanoise massif,Savoy,FR,1862
Torre del Gran San Pietro,3692,377,7.3589,45.5258,Gran Paradiso Alps,Aosta/Turin,IT,1867
Monte Disgrazia,3678,1116,9.7494,46.2692,Bregaglia Range,Sondrio,IT,1862
Punta San Matteo,3678,369,10.5672,46.3778,Ortler Alps,Sondrio/Trentino,IT,1865
Uia di Ciamarella,3676,664,7.1453,45.3286,Graian Alps - SE,Turin,IT,1857
Dent de Perroc,3676,408,7.5231,46.0394,Weisshorn-Matterhorn,Valais,CH,1871
Dômes de Miage,3673,324,6.8003,45.8156,Mont Blanc massif,Savoy/U-Savoy,FR,1858
Les Bans,3669,386,6.3367,44.8486,Massif des Écrins,Isère/H-Alpes,FR,1878
Großvenediger,3666,1185,12.3464,47.1092,Venediger Group,E-Tyrol/Salzburg,AT,1841
Montagne des Agneaux,3664,460,6.4306,44.9503,Massif des Écrins,Hautes-Alpes,FR,1873
Blüemlisalphorn,3661,874,7.7725,46.4889,Bernese Alps,Bern,CH,1860
Portjengrat: Pizzo d'Andolla,3654,411,8.0347,46.1008,Weissmies Alps,Valais/V-C-O,CH/IT,1871
Grande Motte,3653,401,6.8703,45.4114,Vanoise massif,Savoy,FR,1864
Thurwieserspitze,3652,299,10.5253,46.4953,Ortler Alps,S-Tyrol/Sondrio,IT,1869
Aiguilles Rouges d'Arolla,3644,789,7.4336,46.0553,Grand Combin Alps,Valais,CH,1870
Ciarforon,3643,349,7.2472,45.4933,Gran Paradiso Alps,Aosta/Turin,IT,1871
Doldenhorn,3638,654,7.7347,46.4689,Bernese Alps,Bern,CH,1862
Albaron,3637,327,7.1028,45.3325,Graian Alps - SE,Savoy,FR,1866
Dammastock,3630,1466,8.4211,46.6433,Urner Alps,Uri/Valais,CH,1864
Hintere Schwärze,3628,835,10.9147,46.7733,Ötztal Alps,N-Tyrol/S-Tyrol,AT/IT,1867
Levanna Centrale,3619,525,7.1719,45.4103,Graian Alps - SE,Savoy/Turin,FR/IT,1875
Tödi (Piz Russein),3614,1570,8.9147,46.8111,Glarus Alps,Glarus/Graub.,CH,1824
Pointe de Ronce,3612,500,6.9786,45.2644,Graian Alps - SE,Savoy,FR,1784
Les Diablons,3609,379,7.6711,46.1425,Weisshorn-Matterhorn,Valais,CH,1863
Grande Rousse/Bec de l'Invergnan,3607,525,7.0844,45.5633,Graian Alps - Central,Aosta Valley,IT,1874
Tsanteleina,3602,490,7.0461,45.4794,Graian Alps - Central,Savoy/Aosta,FR/IT,1865
Aiguille du Plat de la Selle,3596,423,6.2233,44.9644,Massif des Écrins,Isère,FR,1876
Piz Glüschaint,3594,341,9.8400,46.3625,Bernina Range,Graub./Sondrio,CH/IT,1863
Bessanèse,3592,386,7.1194,45.3022,Graian Alps - SE,Savoy/Turin,FR/IT,1857
Les Rouies,3589,506,6.2586,44.8644,Massif des Écrins,Isère,FR,1873
Grand Roc Noir,3582,818,6.8919,45.3303,Vanoise massif,Savoy,FR,0
Mont Brulé,3578,365,7.5383,45.9550,Weisshorn-Matterhorn,Valais/Aosta,CH/IT,1876
Croix Rousse/Croce Rossa,3571,499,7.1347,45.2606,Graian Alps - SE,Savoy/Turin,FR/IT,1857
Olan,3564,552,6.1972,44.8594,Massif des Écrins,Isère/H-Alpes,FR,1875
Großes Wiesbachhorn,3564,481,12.7553,47.1564,Glockner Group,Salzburg,AT,1795
Plaret,3563,362,6.2600,44.9686,Massif des Écrins,Isère,FR,1877
Cime de Clot Châtel,3563,320,6.2803,44.8975,Massif des Écrins,Isère,FR,1877
Ouille d'Arbéron/Pta d'Arnas,3563,294,7.1281,45.2717,Graian Alps - SE,Savoy/Turin,FR/IT,1873
Aiguille de Péclet,3562,766,6.6244,45.2814,Vanoise massif,Savoy,FR,1878
Tschingelhorn,3562,388,7.8486,46.4786,Bernese Alps,Bern/Valais,CH,1865
Monte Emilius,3559,733,7.3847,45.6789,Gran Paradiso Alps,Aosta Valley,IT,1826
Tête de l'Étret,3559,310,6.2453,44.8900,Massif des Écrins,Isère,FR,1876
Presanella,3558,1676,10.6639,46.2200,Adamello-Presanella,Trentino,IT,1864
Aouille Tseuque,3554,345,7.4431,45.9303,Grand Combin Alps,Valais/Aosta,CH/IT,0
Monte Leone,3553,1144,8.1100,46.2494,Leone-Gotthard Alps,Valais/V-C-O,CH/IT,1859
Großer Ramolkogel,3550,380,10.9589,46.8467,Ötztal Alps,North Tyrol,AT,1862
Vertainspitze,3545,422,10.6356,46.5372,Ortler Alps,South Tyrol,IT,1865
Schalfkogel,3540,351,10.9592,46.8017,Ötztal Alps,North Tyrol,AT,1830
Adamello,3539,664,10.4961,46.1558,Adamello-Presanella,Brescia,IT,1864
Rocciamelone,3538,310,7.0769,45.2039,Graian Alps - SE,Turin,IT,1358
Hochvernagtspitze,3535,299,10.7961,46.8814,Ötztal Alps,North Tyrol,AT,1865
Watzespitze,3533,489,10.7956,46.9894,Ötztal Alps,North Tyrol,AT,1869
Bec d'Epicoune,3531,298,7.4225,45.9147,Grand Combin Alps,Valais/Aosta,CH/IT,1866
Mont Gelé,3518,619,7.3661,45.9042,Grand Combin Alps,Valais/Aosta,CH/IT,1861
Weißseespitze,3518,345,10.7172,46.8467,Ötztal Alps,N-Tyrol/S-Tyrol,AT/IT,1870
Aiguille Méridionale d'Arves,3514,1433,6.3369,45.1272,Dauphiné Alps,H-Alpes/Savoy,FR,1878
Fineilspitze,3514,504,10.8319,46.7803,Ötztal Alps,N-Tyrol/S-Tyrol,AT/IT,1865
Punta Tersiva,3512,596,7.4761,45.6206,Gran Paradiso Alps,Aosta Valley,IT,1842
Hochfeiler,3509,981,11.7278,46.9722,Zillertal Alps,N-Tyrol/S-Tyrol,AT/IT,1865
Zuckerhütl,3507,1033,11.1539,46.9644,Stubai Alps,North Tyrol,AT,1863
Aiguille de Scolette/Pierre Menue,3506,1069,6.7686,45.1600,Northern Cottian Alps,Savoy/Turin,FR/IT,1875
Galmihorn,3505,293,8.1850,46.5067,Bernese Alps,Valais,CH,1884
Becca di Luseney / de Leseney,3504,646,7.4911,45.8706,Weisshorn-Matterhorn,Aosta Valley,IT,1866
Sustenhorn,3503,414,8.4553,46.6989,Urner Alps,Bern/Uri,CH,1841
Dreiherrnspitze,3499,581,12.2408,47.0692,Venediger Group,E-Tyr/Salz/S-Tyr,AT/IT,1866
Schrankogel,3497,545,11.0992,47.0439,Stubai Alps,North Tyrol,AT,1840
Rötspitze,3496,653,12.2053,47.0269,Venediger Group,E-Tyrol/S-Tyrol,AT/IT,1854
Grande Traversière,3496,342,7.0558,45.5231,Graian Alps - Central,Aosta Valley,IT,1885
M. Morion Sud/M. Rion Méridional,3489,345,7.3653,45.8781,Grand Combin Alps,Aosta Valley,IT,0
Grand Nomenon,3488,389,7.2361,45.6119,Gran Paradiso Alps,Aosta Valley,IT,1877
Sonnighorn/ Pizzo Bottarello,3487,340,8.0222,46.0742,Weissmies Alps,Valais/V-C-O,CH/IT,1879
Testa del Rutor,3486,850,7.0144,45.6308,Graian Alps - Central,Aosta Valley,IT,1858
Grande Aiguille Rousse,3482,390,7.1097,45.4331,Graian Alps - SE,Savoy,FR,1878
Pic de Bonvoisin,3481,397,6.3469,44.8236,Massif des Écrins,Hautes-Alpes,FR,1879
Großer Möseler,3480,455,11.7819,46.9925,Zillertal Alps,N-Tyrol/S-Tyrol,AT/IT,1865
Hochwilde,3480,353,11.0222,46.7656,Ötztal Alps,N-Tyrol/S-Tyrol,AT/IT,1852
Olperer,3476,1231,11.6589,47.0531,Zillertal Alps,North Tyrol,AT,1867
Ruderhofspitze,3474,370,11.1433,47.0394,Stubai Alps,North Tyrol,AT,1864
Hinterer Seelenkogel,3472,441,11.0444,46.8017,Ötztal Alps,N-Tyrol/S-Tyrol,AT/IT,1871
Grande Rousse S (Pic Bayle),3465,1175,6.1358,45.1378,Dauphiné Alps,Isère,FR,1874
Roche de la Muzelle,3465,529,6.1067,44.9311,Massif des Écrins,Isère,FR,1875
Pic de l'Étendard,3464,170,6.1439,45.1544,Dauphiné Alps,Isère/Savoy,FR,1863
Carè Alto,3463,481,10.5961,46.1081,Adamello-Presanella,Trentino,IT,1865
Vordere Ölgrubenspitze,3456,390,10.7733,46.9083,Ötztal Alps,North Tyrol,AT,1876
Bliggspitze,3453,390,10.7861,46.9181,Ötztal Alps,North Tyrol,AT,1874
Johannisberg,3453,293,12.6728,47.1094,Glockner Group,Carinth/Salzburg,AT,1844
Piz Corvatsch,3451,383,9.8161,46.4083,Bernina Range,Graubünden,CH,1850
Rinderhorn,3448,412,7.6542,46.4136,Bernese Alps,Valais,CH,1854
Punta Garin,3448,294,7.3778,45.6558,Gran Paradiso Alps,Aosta Valley,IT,1856
Wasenhorn,3447,303,8.1658,46.4981,Bernese Alps,Valais,CH,1885
Hintere Eggenspitze / Cima Sternai,3443,478,10.7706,46.4778,Ortler Alps,S-Tyrol/Trentino,IT,1868
Roc du Mulinet/Cima Martellot,3442,342,7.1628,45.3808,Graian Alps - SE,Savoy/Turin,FR/IT,1878
Sirac,3441,357,6.3069,44.7897,Massif des Écrins,Hautes-Alpes,FR,1877
Piz Tremoggia,3441,349,9.8219,46.3519,Bernina Range,Graub./Sondrio,CH/IT,1859
Dosson di Genova,3441,313,10.5536,46.1486,Adamello-Presanella,Brescia/Trentino,IT,1882
Cima de' Piazzi,3439,1202,10.2850,46.4167,Livigno Alps,Sondrio,IT,1867
Lagaunspitze,3439,422,10.7392,46.7392,Ötztal Alps,South Tyrol,IT,1876
Zufrittspitze,3439,309,10.7822,46.5019,Ortler Alps,South Tyrol,IT,1868
Taou Blanc,3438,415,7.1481,45.5222,Graian Alps - Central,Aosta Valley,IT,1880
Hochgall,3436,1148,12.1397,46.9108,Rieserferner Group,South Tyrol,IT,1854
Gspaltenhorn,3436,599,7.8275,46.5117,Bernese Alps,Bern,CH,1869
Stellihorn,3436,598,8.0008,46.0364,Weissmies Alps,Valais,CH,0
Pointe de la Sana,3436,525,6.9181,45.3850,Vanoise massif,Savoy,FR,1877
Punta Bianca di Bioula,3427,463,7.1667,45.5867,Graian Alps - Central,Aosta Valley,IT,0
Verpeilspitze,3425,415,10.8050,47.0033,Ötztal Alps,North Tyrol,AT,1886
Pointe de l'Échelle,3422,537,6.6853,45.2692,Vanoise massif,Savoy,FR,0
Aiguille du Goleon,3422,330,6.3264,45.1036,Dauphiné Alps,Hautes-Alpes,FR,0
Aiguille de l'Épéna,3421,330,6.8172,45.4147,Vanoise massif,Savoy,FR,1900
Pics du Says,3420,298,6.3058,44.8739,Massif des Écrins,Isère/H-Alpes,FR,1879
Bifertenstock / Piz Durschin,3419,383,8.9575,46.8044,Glarus Alps,Glarus/Graub.,CH,1863
Piz Kesch / Piz d' Es-Cha,3418,1503,9.8728,46.6214,Albula Alps,Graubünden,CH,1846
Sommet de Bellecôte,3417,808,6.7825,45.4925,Vanoise massif,Savoy,FR,1866
Fleckistock / Rot Stock,3416,760,8.4975,46.7075,Urner Alps,Uri,CH,1864
Pointe du Bouchet,3416,321,6.6042,45.2542,Vanoise massif,Savoy,FR,0
Aiguille de Chambeyron,3412,771,6.8567,44.5478,Southern Cottian Alps,A-d-H-Provence,FR,1879
Piz Linard,3411,1028,10.0717,46.7989,Silvretta,Graubünden,CH,1835
Schrammacher,3410,451,11.6431,47.0269,Zillertal Alps,North Tyrol,AT,1847
Hochfirst,3403,401,11.0811,46.8267,Ötztal Alps,N-Tyrol/S-Tyrol,AT/IT,1870
Rheinwaldhorn,3402,1337,9.0403,46.4936,Adula Alps,Graub./Ticino,CH,1789
Aiguilles des Arias,3402,432,6.1742,44.8956,Massif des Écrins,Isère,FR,1876
Fluchthorn,3399,647,10.2275,46.8908,Silvretta,N-Tyrol/Graub.,AT/CH,1861
Piz Calderas,3397,1085,9.6958,46.5364,Albula Alps,Graubünden,CH,1857
Großer Bärenkopf,3396,302,12.7317,47.1308,Glockner Group,Salzburg,AT,1869
Hohe Geige,3395,458,10.9086,47.0047,Ötztal Alps,North Tyrol,AT,1853
Piz Platta,3392,1108,9.5617,46.4872,Oberhalbstein Range,Graubünden,CH,1866
Brec de Chambeyron,3389,462,6.8533,44.5281,Southern Cottian Alps,AdHP/Cuneo,FR/IT,1878
Diechterhorn,3389,308,8.3606,46.6486,Urner Alps,Bern,CH,1864
Veneziaspitze / Cima Venezia,3386,354,10.6892,46.4539,Ortler Alps,S-Tyrol/Trentino,IT,1867
Pic Nord de la Font Sancte,3385,724,6.8003,44.6050,Southern Cottian Alps,AdHP/H-Alpes,FR,1879
Punta Sulè,3384,311,7.1375,45.2314,Graian Alps - SE,Turin,IT,0
Rognosa d'Etiache / d'Étache,3383,584,6.8339,45.1347,Northern Cottian Alps,Savoy/Turin,FR/IT,1875
Piz Güglia / Piz Julier,3380,489,9.7597,46.4911,Albula Alps,Graubünden,CH,1859
Grand Tournalin,3379,551,7.6881,45.8717,Monte Rosa Alps,Aosta Valley,IT,1863
Güferhorn,3379,400,9.0631,46.5125,Adula Alps,Graubünden,CH,1806
Cima di Castello,3379,388,9.6769,46.3031,Bregaglia Range,Graub./Sondrio,CH/IT,1866
Großer Löffler,3379,368,11.9158,47.0325,Zillertal Alps,N-Tyrol/S-Tyrol,AT/IT,1843
Mont d'Ambin / Rocca d'Ambin,3378,501,6.8844,45.1567,Northern Cottian Alps,Savoy/Turin,FR/IT,1823
Punta di Fontanella,3378,333,7.5558,45.9061,Weisshorn-Matterhorn,Aosta Valley,IT,1864
Cima Viola,3374,1073,10.1964,46.3836,Livigno Alps,Sondrio,IT,1875
Blinnenhorn / Corno Cieco,3374,945,8.3078,46.4258,Leone-Gotthard Alps,Valais/V-C-O,CH/IT,1866
Hoher Eichham,3371,329,12.4067,47.0539,Venediger Group,East Tyrol,AT,1854
Monte Confinale,3370,376,10.5044,46.4494,Ortler Alps,Sondrio,IT,1864
Pizzo Cengalo,3369,620,9.6019,46.2950,Bregaglia Range,Graub./Sondrio,CH/IT,1866
Schwarzenstein,3369,342,11.8742,47.0100,Zillertal Alps,N-Tyrol/S-Tyrol,AT/IT,1852
Hoher Tenn,3368,337,12.7594,47.1797,Glockner Group,Salzburg,AT,1840
Malhamspitze,3368,321,12.2594,47.0492,Venediger Group,East Tyrol,AT,1873
Egginer,3367,378,7.9300,46.0753,Mischabel,Valais,CH,0
Innere Schwarze Schneid,3367,293,10.9214,46.9242,Ötztal Alps,North Tyrol,AT,1874
Piz Fora,3363,432,9.7847,46.3408,Bernina Range,Graub./Sondrio,CH/IT,1875
Hochalmspitze,3360,946,13.3211,47.0150,Ankogel Group,Carinthia,AT,1855
Corno dei Tre Signori,3360,361,10.5156,46.3431,Ortler Alps,Bresc/Sond/Trent,IT,1876
Großer Geiger,3360,293,12.3089,47.0931,Venediger Group,E-Tyrol/Salzburg,AT,1871
Wilde Leck,3359,309,11.0625,47.0028,Stubai Alps,North Tyrol,AT,1865
Schneebiger Nock /Ruthnerhorn,3358,544,12.0842,46.9053,Rieserferner Group,South Tyrol,IT,1866
Grande Roise,3357,321,7.4231,45.6753,Gran Paradiso Alps,Aosta Valley,IT,1875
Rofelewand,3353,528,10.8183,47.0325,Ötztal Alps,North Tyrol,AT,1873
Glockturm,3353,415,10.6656,46.8933,Ötztal Alps,North Tyrol,AT,1853
Puitkogel,3345,392,10.9014,46.9814,Ötztal Alps,North Tyrol,AT,1894
Marmolada (Punta Penia),3343,2134,11.8508,46.4347,Dolomites - NW,Belluno/Trentino,IT,1864
Bric de Rubren / Mongioia,3340,685,6.9497,44.6200,Southern Cottian Alps,AdHP/Cuneo,FR/IT,1823
Piz Ela,3339,515,9.7075,46.6019,Albula Alps,Graubünden,CH,1865
Roteck,3337,483,10.9842,46.7236,Ötztal Alps,South Tyrol,IT,1872
Punta Sommeiller,3332,339,6.8525,45.1283,Northern Cottian Alps,U-Savoy/Turin,FR/IT,1871
Fuscherkarkopf,3331,490,12.7456,47.0989,Glockner Group,Carinth/Salzburg,AT,1845
Corno Baitone,3330,483,10.4411,46.1731,Adamello-Presanella,Brescia,IT,1890
Mont Fort,3329,408,7.3186,46.0811,Grand Combin Alps,Valais,CH,1866
Oberalpstock,3328,703,8.7694,46.7428,Glarus Alps,Graubünden/Uri,CH,1793
Grande Rochère,3326,836,7.0614,45.8136,Grand Combin Alps,Aosta Valley,IT,1832
Busazza,3326,304,10.6111,46.2239,Adamello-Presanella,Trentino,IT,1889
Tête de Lauranoure,3325,385,6.1519,44.9264,Massif des Écrins,Isère,FR,1879
Pizzo Scalino,3323,859,9.9736,46.2786,Bernina Range,Sondrio,IT,1830
Pic de Rochebrune,3320,1019,6.7878,44.8225,Central Cottian Alps,Hautes-Alpes,FR,1819
Corno Bianco,3320,446,7.8789,45.8228,Monte Rosa Alps,Aosta/Vercelli,IT,1831
Testa Grigia/Groabhopt,3315,643,7.7867,45.8308,Monte Rosa Alps,Aosta Valley,IT,1858
Mont Giusalet,3312,835,6.9300,45.1806,Northern Cottian Alps,Savoy,FR,1871
Piz Buin,3312,544,10.1186,46.8442,Silvretta,Vorarlb/Graub.,AT/CH,1865
Mont Pelve,3312,335,6.7767,45.3561,Vanoise massif,Savoy,FR,0
Torre di Lavina,3308,475,7.4486,45.5556,Gran Paradiso Alps,Aosta/Turin,IT,1856
Pointe de l'Aiglière,3307,546,6.4147,44.8103,Massif des Écrins,Hautes-Alpes,FR,0
Laaser Spitze/Orgelspitze,3305,318,10.7178,46.5619,Ortler Alps,South Tyrol,IT,1855
Reichenspitze,3303,683,12.1108,47.1394,Zillertal Alps,N-Tyrol/Salzburg,AT,1856
Piz Paradisin,3302,875,10.1172,46.4261,Livigno Alps,Graub./Sondrio,CH/IT,0
Punta Ramiere / Bric Froid,3302,673,6.9317,44.8642,Central Cottian Alps,H-Alpes/Turin,FR/IT,1877
Becca di Tos,3301,461,7.1067,45.6303,Graian Alps - Central,Aosta Valley,IT,0
Verstanclahorn,3298,375,10.0725,46.8350,Silvretta,Graubünden,CH,1866
Cima Sud Argentera,3297,1306,7.3058,44.1781,Maritime Alps,Cuneo,IT,1879
Monte Sobretta,3296,835,10.4369,46.3975,Ortler Alps,Sondrio,IT,0
Strahlkogel,3295,513,11.0194,47.1092,Stubai Alps,North Tyrol,AT,1833
Gross Schärhorn,3294,513,8.8292,46.8272,Glarus Alps,Uri,CH,1842
Muttler,3293,703,10.3786,46.9006,Samnaun Alps,Graubünden,CH,1859
Grand Glaiza / Punta Merciantaira,3293,496,6.8819,44.8500,Central Cottian Alps,H-Alpes/Turin,FR/IT,1835
Hockenhorn,3293,348,7.7442,46.4283,Bernese Alps,Bern/Valais,CH,1840
Keeskogel,3291,374,12.3119,47.1364,Venediger Group,Salzburg,AT,1840
Schlieferspitze,3290,514,12.2433,47.1225,Venediger Group,Salzburg,AT,1871
M. Aiguillette / L'Asti,3287,472,7.0267,44.6914,Southern Cottian Alps,H-Alpes/Cuneo,FR/IT,0
Petzeck,3283,799,12.8047,46.9481,Schober Group,Carinthia,AT,1844
Punta di Pietra Rossa,3283,662,10.4375,46.3247,Ortler Alps,Brescia,IT,0
Ritzlihorn,3282,330,8.2589,46.6322,Bernese Alps,Bern,CH,1816
Roter Knopf,3281,549,12.7394,46.9786,Schober Group,Carinthia/E-Tyrol,AT,1872
Piz Fliana,3281,406,10.1086,46.8272,Silvretta,Graubünden,CH,1869
Rognosa di Sestriere,3280,575,6.9311,44.9347,Central Cottian Alps,Turin,IT,1836
Pizzo Dosdè,3280,308,10.2258,46.4100,Livigno Alps,Sondrio,IT,1879
Pizzo Tambo / Tambohorn,3279,1164,9.2833,46.4969,Adula Alps,Graub./Sondrio,CH/IT,1828
Hohe Weiße,3279,384,11.0372,46.7456,Ötztal Alps,South Tyrol,IT,1871
Habicht,3277,540,11.2897,47.0436,Stubai Alps,North Tyrol,AT,1836
Gsallkopf,3277,295,10.8050,47.0378,Ötztal Alps,North Tyrol,AT,1894
