Mountain,Height,Drop,Lon,Lat,Range,Region,Country,Firstascent
Hoher Dachstein,2995,2136,13.6056,47.4753,Dachstein Mountains,Styria/U-Austria,AT,1832
Roignais,2995,1028,6.6889,45.6431,Beaufortain Massif,Savoy,FR,0
Rote Säule,2994,304,12.4439,47.1467,Venediger Group,E-Tyrol/Salzburg,AT,1865
Le Mourre Froid,2993,411,6.4003,44.6383,Massif des Écrins,Hautes-Alpes,FR,0
Grand Parpaillon,2990,335,6.6519,44.4939,Southern Cottian Alps,A-d-H-Provence,FR,0
Mittler Fanis / Fanis di Mezzo,2989,658,12.0142,46.5514,Dolomites - NE,Belluno/S-Tyrol,IT,1898
Felber Tauernkogel,2988,377,12.4839,47.1578,Venediger Group,E-Tyrol/Salzburg,AT,1854
Piz de la Lumbreida,2983,564,9.2253,46.4811,Adula Alps,Graubünden,CH,0
Cima Bagni,2983,455,12.4103,46.6153,Sexten Dolomites,Belluno,IT,0
Pala di San Martino,2982,410,11.8508,46.2536,Dolomites - S,Trentino,IT,1878
Rosengartenspitze/Cima Catinaccio,2981,425,11.6208,46.4547,Dolomites - NW,S-Tyrol/Trentino,IT,1874
Aroser Rothorn,2980,1349,9.6139,46.7378,Plessur Alps,Graubünden,CH,0
Ròthòre / Corno Rosso,2979,499,7.8803,45.7669,Monte Rosa Alps,Aosta/Vercelli,IT,0
La Tsavre,2978,305,7.1294,45.9156,Grand Combin Alps,Valais,CH,0
Grand Pic de Belledonne,2977,1053,5.9917,45.1708,Belledonne,Isère,FR,1859
Pic de Colle Blanche,2975,335,6.1725,44.7533,Massif des Écrins,Hautes-Alpes,FR,0
Monte Redival,2973,356,10.6142,46.3086,Ortler Alps,Trentino,IT,1878
Cima Ovest/Westliche Zinne,2973,306,12.2972,46.6186,Sexten Dolomites,Belluno/S-Tyrol,IT,1879
Piz Curvér,2972,456,9.4972,46.6033,Oberhalbstein Range,Graubünden,CH,1843
Wildgrat,2971,461,10.8267,47.1406,Ötztal Alps,North Tyrol,AT,0
Tsaat a l'Etsena/Chateleysine,2971,326,7.4000,45.8014,Weisshorn-Matterhorn,Aosta Valley,IT,0
Schilthorn,2970,358,7.8347,46.5575,Bernese Prealps,Bern,CH,0
Haut de Cry,2969,525,7.1950,46.2403,Vaud Alps,Valais,CH,0
Grieshorn,2969,509,8.3931,46.4514,Leone-Gotthard Alps,Ticino/V-C-O,CH/IT,0
Dent de Morcles,2969,465,7.0756,46.1992,Vaud Alps,Valais,CH,1787
Piz Daint,2968,734,10.2908,46.6186,Ortler Alps,Graubünden,CH,0
